"Label (Grouping)","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error"
"Total:","10,039,107","*****"
"    White alone","5,234,081","±34,078"
"    Black or African American alone","811,176","±9,999"
"    American Indian and Alaska Native alone","81,491","±9,004"
"    Asian alone","1,474,713","±9,381"
"    Native Hawaiian and Other Pacific Islander alone","26,307","±2,362"
"    Some other race alone","1,997,842","±37,344"
"    Two or more races:","413,497","±15,421"
"        Two races including Some other race","119,327","±8,373"
"        Two races excluding Some other race, and three or more races","294,170","±12,386"